City ID,City Name,Country,Cloudiness,Humidity,Latitude,Longitude,Max Temp,Wind Speed,Date
121,stornoway,GB,4,93,58.21,-6.39,52.0,4.7,1595197761
122,urumqi,CN,94,42,43.8,87.6,80.6,8.95,1595197844
123,olafsvik,IS,21,79,64.89,-23.71,48.27,6.53,1595197844
124,arman,RU,84,58,59.7,150.17,62.17,6.58,1595197386
125,bathsheba,BB,20,66,13.22,-59.52,84.2,13.87,1595197731
126,bredasdorp,ZA,1,93,-34.53,20.04,55.4,1.03,1595197742
127,puquio,PE,57,39,-14.7,-74.13,55.51,3.29,1595197845
128,weligama,LK,89,88,5.97,80.42,78.08,8.34,1595197845
129,saint george,US,1,7,37.1,-113.58,107.01,12.75,1595197845
130,qaanaaq,GL,99,69,77.48,-69.36,47.59,1.74,1595197255
131,khandbari,NP,100,80,27.37,87.2,71.94,0.49,1595197845
132,chifeng,CN,0,57,42.27,118.96,64.63,5.82,1595197633
133,msowero,TZ,6,76,-6.53,37.2,63.64,3.33,1595197845
134,pechenga,RU,75,87,69.53,31.17,60.8,4.7,1595197845
135,roma,US,1,58,43.21,-75.46,87.8,6.93,1595197559
136,carnarvon,AU,0,87,-24.87,113.63,48.2,8.05,1595197263
137,avarua,CK,77,78,-21.21,-159.78,75.2,16.11,1595197846
138,cidreira,BR,57,78,-30.18,-50.21,66.33,9.89,1595197846
139,gornopravdinsk,RU,0,79,60.05,69.9,58.28,7.67,1595197321
140,masuda,JP,75,83,34.67,131.85,80.6,8.3,1595197847
141,vestmannaeyjar,IS,43,79,63.44,-20.27,49.8,14.72,1595197076
142,port hardy,CA,20,64,50.7,-127.42,68.0,19.46,1595197344
143,shelburne,CA,90,74,44.08,-80.2,80.6,13.87,1595197821
144,nelson bay,AU,10,66,-32.72,152.15,54.0,17.22,1595197847
145,constitucion,CL,78,88,-35.33,-72.42,53.38,7.74,1595197847
146,damaturu,NG,29,58,11.75,11.96,82.71,11.97,1595197847
147,kenai,US,90,77,60.55,-151.26,62.6,16.11,1595197847
148,kavieng,PG,29,74,-2.57,150.8,83.23,9.69,1595197847
149,hofn,IS,39,57,64.25,-15.21,55.54,9.22,1595197083
150,havoysund,NO,100,81,71.0,24.66,53.6,5.82,1595197345
151,muli,MV,100,78,2.92,73.57,82.4,20.94,1595197847
152,omboue,GA,100,81,-1.57,9.26,73.69,7.54,1595197307
